PATH,CLOSEST_HYDROPHONE,DISTANCE,ALL_VALID,PREDICTED,IS_NEARBY,H0 TOA,H0 VALID,H0 REASON,H0 IS_NEARBY,H0 CONFIDENCE,H0 H0_RAW_spectral_flatness,H0 H0_FILTERED_spectral_centroid_hz,H0 H0_FILTERED_time_to_secondary_peak_ms,H0 H0_RAW_rise_time_ms,H0 H0_RAW_spectral_centroid_hz,H0 H0_FILTERED_rise_time_ms,H0 H0_FILTERED_fwhm_ms,H1 TOA,H1 VALID,H1 REASON,H1 IS_NEARBY,H1 CONFIDENCE,H1 RAW_spectral_flatness,H1 FILTERED_spectral_centroid_hz,H1 FILTERED_time_to_secondary_peak_ms,H1 RAW_rise_time_ms,H1 RAW_spectral_centroid_hz,H1 FILTERED_rise_time_ms,H1 FILTERED_fwhm_ms,H2 TOA,H2 VALID,H2 REASON,H2 IS_NEARBY,H2 CONFIDENCE,H2 RAW_spectral_flatness,H2 FILTERED_spectral_centroid_hz,H2 FILTERED_time_to_secondary_peak_ms,H2 RAW_rise_time_ms,H2 RAW_spectral_centroid_hz,H2 FILTERED_rise_time_ms,H2 FILTERED_fwhm_ms,H3 TOA,H3 VALID,H3 REASON,H3 IS_NEARBY,H3 CONFIDENCE,H3 RAW_spectral_flatness,H3 FILTERED_spectral_centroid_hz,H3 FILTERED_time_to_secondary_peak_ms,H3 RAW_rise_time_ms,H3 RAW_spectral_centroid_hz,H3 FILTERED_rise_time_ms,H3 FILTERED_fwhm_ms
H0_Closest_0FT_epoch_5,H0,0FT,True,0,True,1.39312344175,True,VALID,True,0.83,0.30078617,31996.568936772484,7.9424,0.15616,74018.61094540256,3.5008,3.01568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_50,H0,0FT,True,0,True,1.12487000175,True,VALID,True,1.0,0.26378092,31914.990273373438,8.65408,0.43392000000000003,68337.43964571862,0.45439999999999997,0.5465599999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_51,H0,0FT,True,0,True,0.14857688175,True,VALID,True,0.99,0.2756316,32000.355363188955,10.37184,0.25727999999999995,69896.30279379357,0.41344,0.75648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_52,H0,0FT,True,0,True,1.31430744175,True,VALID,True,0.98,0.21008603,32046.778036633637,19.11168,3.11168,60707.48758118433,4.33664,0.95872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_53,H0,0FT,True,0,True,0.39671384175,True,VALID,True,0.96,0.24234027,31944.624220806338,17.593600000000002,4.09472,65487.155563661814,0.47615999999999997,1.0316800000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_54,H0,0FT,True,0,True,1.63916376175,True,VALID,True,1.0,0.22027247,32088.768495188837,9.02656,4.13696,62097.441788368546,3.7619200000000004,2.06592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_55,H0,0FT,True,0,True,0.81732056175,True,VALID,True,1.0,0.2170483,32116.699959855443,3.6928,4.19456,61754.57727340764,0.80256,1.5513599999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_56,H0,0FT,False,0,True,0.03310680175,False,TOO_EARLY,True,1.0,0.23139007,32012.3649096813,22.06848,0.416,64169.43446241873,0.45056,0.5900799999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_57,H0,0FT,True,0,True,1.21425368175,True,VALID,True,1.0,0.2211946,32039.37863177877,9.576960000000001,2.47168,61692.91673893545,2.54464,2.84288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_58,H0,0FT,True,0,True,0.25263064175,True,VALID,True,1.0,0.21775378,32010.595002769503,15.73248,4.16896,61506.90536528189,0.80384,2.1196800000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_59,H0,0FT,True,0,True,1.51318616175,True,VALID,True,0.96,0.24988794,31963.301119642358,9.442559999999999,4.669440000000001,65792.11969167597,2.8928000000000003,4.04224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_6,H0,0FT,True,0,True,0.5809775217500001,True,VALID,True,0.98,0.222205,32042.382203392543,16.029439999999997,0.70784,62648.128340763426,4.3904,1.18144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_60,H0,0FT,True,0,True,0.6566332017500001,True,VALID,True,1.0,0.23246618,31969.246081905163,6.2348799999999995,2.42176,63971.52515595741,3.77984,3.7632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_61,H0,0FT,True,0,True,1.84844760175,True,VALID,True,0.97,0.25172412,31985.079044002578,12.92544,1.20576,67274.5725085757,1.33248,3.7350399999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_62,H0,0FT,True,0,True,1.07917016175,True,VALID,True,1.0,0.22621042,31935.7147196683,16.47232,0.384,63467.89428723654,0.41344,0.64768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_63,H0,0FT,True,0,True,0.25083608175000005,True,VALID,True,1.0,0.23180827,31999.69754791663,13.98528,0.35328,63239.69197086884,0.39808,3.7888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_64,H0,0FT,True,0,True,1.48282328175,True,VALID,True,0.96,0.2217879,31985.00423400851,16.36608,0.75648,62154.50949256779,3.7836800000000004,3.8655999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_65,H0,0FT,True,0,True,0.68924120175,True,VALID,True,1.0,0.23807932,32049.58433979313,11.30752,4.1408000000000005,64794.31512039568,0.37632,3.2704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_66,H0,0FT,False,0,True,1.97643864175,False,TOO_LATE,True,0.99,0.23240177,32009.652738812572,14.57024,0.6617599999999999,64043.07662455331,0.41728000000000004,3.79008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_67,H0,0FT,True,0,True,1.16274136175,True,VALID,True,1.0,0.25714034,32007.00600114972,18.23616,0.384,67107.52676607211,0.38528,0.88832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_68,H0,0FT,True,0,True,0.37853400175,True,VALID,True,0.96,0.24088924,31970.063869021516,14.60992,1.06624,65464.77896029071,3.7401600000000004,5.52448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_69,H0,0FT,True,0,True,1.60770904175,True,VALID,True,1.0,0.23944098,32118.065947422907,7.2,4.166399999999999,65340.564242181055,3.7632,3.7222399999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_7,H0,0FT,True,0,True,1.59167320175,True,VALID,True,0.95,0.2538459,32075.328071864682,16.5312,4.1216,67098.53246200531,4.40704,3.74784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_70,H0,0FT,True,0,True,0.40612056175000005,True,VALID,True,0.97,0.22708479,31931.832689303956,22.85568,4.08064,63180.46967071128,0.8409599999999999,3.97696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_71,H0,0FT,True,0,True,1.5402018417499999,True,VALID,True,0.96,0.23202857,32035.04722854003,14.79808,4.17664,63558.13469839819,3.71712,5.548800000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_72,H0,0FT,True,0,True,0.58446552175,True,VALID,True,1.0,0.21952456,32033.132500490967,6.46016,0.9241600000000001,62591.413503923985,0.97024,3.69792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_73,H0,0FT,True,0,True,1.8193045617499999,True,VALID,True,0.93,0.26345232,31967.915456071896,9.20832,4.38016,68882.77660536661,3.7401600000000004,4.49024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_74,H0,0FT,True,0,True,1.0167983217499998,True,VALID,True,0.99,0.23137587,31993.216097606328,10.336,2.6944,63369.56216288153,3.7836800000000004,1.78944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_75,H0,0FT,True,0,True,0.18951256175,True,VALID,True,1.0,0.2360171,32056.452802365508,12.207360000000001,4.25088,64705.356488379555,4.327680000000001,2.9043200000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_76,H0,0FT,True,0,True,1.56318552175,True,VALID,True,1.0,0.20875084,32067.278433611413,10.01088,1.06368,60788.33857059852,0.63232,2.0608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_77,H0,0FT,True,0,True,0.73280728175,True,VALID,True,0.97,0.24951434,31956.579591827147,6.70592,3.58912,66592.58625759462,3.79776,3.06432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_78,H0,0FT,True,0,True,1.83933656175,True,VALID,True,0.98,0.23019043,32036.013454596723,18.15168,4.23168,63330.93765095309,4.29568,3.00672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_79,H0,0FT,True,0,True,0.92102232175,True,VALID,True,0.99,0.25418556,32056.11454396363,22.40512,3.62112,67130.21896187386,3.58912,1.2032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
