PATH,TRUTH,PREDICTED,H0 TOA,H1 TOA,H2 TOA,H3 TOA,ALL_VALID,H0 VALID,H1 VALID,H2 VALID,H3 VALID,H0 REASON,H1 REASON,H2 REASON,H3 REASON,H0 NEARBY,H1 NEARBY,H2 NEARBY,H3 NEARBY,H0 NEARBY_VALID,H1 NEARBY_VALID,H2 NEARBY_VALID,H3 NEARBY_VALID,H0 DELTA_T,H1 DELTA_T,H2 DELTA_T,H3 DELTA_T
H0_Closest_20FT_epoch_73,,0,0.48458840175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.02522752,,,
H0_Closest_20FT_epoch_74,,0,1.64696920175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.02340864,,,
H0_Closest_20FT_epoch_75,,0,0.70763352175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01126784,,,
H0_Closest_20FT_epoch_76,,0,1.8955823217499999,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.02212608,,,
H0_Closest_20FT_epoch_77,,0,0.90357976175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01122304,,,
H0_Closest_20FT_epoch_78,,0,0.039853681749999995,,,,False,False,,,,TOO_EARLY,,,,True,,,,False,,,,0.01123456,,,
H0_Closest_20FT_epoch_79,,0,1.3283144817499999,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.02342016,,,
H0_Closest_20FT_epoch_80,,0,0.55486552175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.0112768,,,
H0_Closest_20FT_epoch_81,,0,1.6438460017499998,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01116416,,,
H0_Closest_20FT_epoch_82,,0,0.84729048175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01301376,,,
H0_Closest_20FT_epoch_83,,0,1.9037666417499999,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.02422656,,,
H0_Closest_20FT_epoch_84,,0,1.01882968175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.0240192,,,
H0_Closest_20FT_epoch_85,,0,0.09734616175000001,,,,False,False,,,,TOO_EARLY,,,,True,,,,False,,,,0.02455936,,,
H0_Closest_20FT_epoch_86,,0,1.11377112175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.02521088,,,
H0_Closest_20FT_epoch_87,,0,0.19921496175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.02749056,,,
H0_Closest_20FT_epoch_88,,0,1.1361071217499998,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.02842112,,,
H0_Closest_20FT_epoch_89,,0,0.07091160175000001,,,,False,False,,,,TOO_EARLY,,,,True,,,,False,,,,0.01546496,,,
H0_Closest_20FT_epoch_90,,0,1.1968213617499999,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01687936,,,
H0_Closest_20FT_epoch_91,,0,0.31602520175000004,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01123328,,,
H0_Closest_20FT_epoch_92,,0,1.3753519217499999,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.02420608,,,
H0_Closest_20FT_epoch_93,,0,7.512174999999999e-05,,,,False,False,,,,TOO_EARLY,,,,False,,,,False,,,,0.4388224,,,
H0_Closest_20FT_epoch_94,,0,1.56477400175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.02767104,,,
H0_Closest_20FT_epoch_95,,0,0.67285208175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.00699008,,,
H0_Closest_20FT_epoch_96,,0,1.97846360175,,,,False,False,,,,TOO_LATE,,,,True,,,,False,,,,0.01351168,,,
H0_Closest_20FT_epoch_97,,0,1.14553816175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01159808,,,
H0_Closest_20FT_epoch_98,,0,0.33973336175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01319936,,,
H0_Closest_20FT_epoch_99,,0,1.2601596017499999,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.02353152,,,
H0_Closest_30FT_epoch_0,,0,0.38785624175000005,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.03739776,,,
H0_Closest_30FT_epoch_1,,0,0.9996002417500001,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.03620224,,,
H0_Closest_30FT_epoch_2,,0,1.99863512175,,,,False,False,,,,TOO_LATE,,,,True,,,,False,,,,0.0168896,,,
H0_Closest_30FT_epoch_3,,0,0.5128725617500001,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01932928,,,
H0_Closest_30FT_epoch_4,,0,1.13405528175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.03617152,,,
H0_Closest_30FT_epoch_5,,0,1.87764312175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01801216,,,
H0_Closest_30FT_epoch_6,,0,0.13678040175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.02121728,,,
H0_Closest_30FT_epoch_7,,0,0.99331288175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.03641728,,,
H0_Closest_30FT_epoch_8,,0,1.75764696175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.03809152,,,
H0_Closest_30FT_epoch_9,,0,0.74578008175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.0351744,,,
H0_Closest_30FT_epoch_10,,0,1.82960856175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.03478528,,,
H0_Closest_30FT_epoch_11,,0,0.75454552175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01354496,,,
H0_Closest_30FT_epoch_12,,0,1.26955096175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.0190464,,,
H0_Closest_30FT_epoch_13,,0,0.36662104175000004,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.0123008,,,
H0_Closest_30FT_epoch_14,,0,7.512174999999999e-05,,,,False,False,,,,TOO_EARLY,,,,False,,,,False,,,,1.46813696,,,
H0_Closest_30FT_epoch_15,,0,0.6489314417500001,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.0165248,,,
H0_Closest_30FT_epoch_16,,0,1.87810264175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01305856,,,
H0_Closest_30FT_epoch_17,,0,0.83687896175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01368576,,,
H0_Closest_30FT_epoch_18,,0,0.09088344175,,,,False,False,,,,TOO_EARLY,,,,True,,,,False,,,,0.01639552,,,
